diam,rad,Wiener,Randich
8.000,4.000,643.000,9.237
8.000,4.000,726.000,9.665
8.000,4.000,729.000,9.648
8.000,4.000,819.000,10.075
8.000,4.000,643.000,9.237
8.000,4.000,726.000,9.665
8.000,4.000,729.000,9.648
8.000,4.000,819.000,10.059
8.000,4.000,916.000,10.486
8.000,4.000,729.000,9.648
8.000,4.000,819.000,10.059
8.000,4.000,819.000,10.059
8.000,4.000,916.000,10.486
8.000,4.000,916.000,10.486
8.000,4.000,819.000,10.075
9.000,5.000,967.000,10.449
10.000,5.000,978.000,10.686
9.000,5.000,857.000,10.148
9.000,5.000,959.000,10.559
9.000,5.000,1063.000,10.986
9.000,5.000,959.000,10.559
9.000,5.000,1063.000,10.986
9.000,5.000,1337.000,11.770
9.000,5.000,940.000,10.613
8.000,4.000,643.000,9.237
8.000,4.000,726.000,9.665
8.000,4.000,819.000,10.075
8.000,4.000,729.000,9.648
10.000,5.000,1003.000,10.631
11.000,6.000,1397.000,12.007
9.000,5.000,839.000,10.203
9.000,5.000,839.000,10.203
9.000,5.000,940.000,10.613
9.000,5.000,749.000,9.775
9.000,5.000,749.000,9.775
9.000,5.000,749.000,9.775
9.000,5.000,959.000,10.559
10.000,5.000,1233.000,11.392
8.000,4.000,556.000,8.843
8.000,4.000,635.000,9.254
8.000,4.000,718.000,9.665
8.000,4.000,719.000,9.682
8.000,4.000,719.000,9.682
8.000,4.000,631.000,9.254
8.000,4.000,805.000,10.092
9.000,5.000,826.000,10.059
9.000,5.000,735.000,9.648
8.000,4.000,810.000,10.092
9.000,5.000,914.000,10.486
8.000,4.000,809.000,10.092
8.000,4.000,813.000,10.075
8.000,4.000,813.000,10.075
9.000,5.000,727.000,9.648
9.000,5.000,727.000,9.648
9.000,5.000,914.000,10.486
10.000,5.000,845.000,10.309
12.000,6.000,1268.000,11.703
10.000,5.000,1207.000,11.349
10.000,5.000,953.000,10.703
10.000,5.000,1078.000,11.220
10.000,5.000,1215.000,11.613
9.000,5.000,1041.000,10.876
11.000,6.000,1343.000,12.024
10.000,5.000,1063.000,11.113
12.000,6.000,1747.000,13.045
10.000,5.000,1063.000,11.113
12.000,6.000,1399.000,12.113
13.000,7.000,1811.000,12.969
11.000,6.000,1357.000,12.007
12.000,6.000,1765.000,12.760
9.000,5.000,1450.000,12.197
10.000,5.000,1198.000,11.469
6.000,3.000,221.000,6.271
8.000,4.000,643.000,9.237
8.000,4.000,726.000,9.665
8.000,4.000,643.000,9.237
8.000,4.000,643.000,9.237
9.000,5.000,1061.000,11.220
9.000,5.000,781.000,9.720
8.000,4.000,819.000,10.059
9.000,5.000,1065.000,10.969
9.000,5.000,1173.000,11.397
8.000,4.000,904.000,10.399
8.000,4.000,814.000,10.075
8.000,4.000,727.000,9.648
8.000,4.000,814.000,10.075
8.000,4.000,819.000,10.059
12.000,6.000,1807.000,12.936
10.000,5.000,1503.000,12.380
8.000,4.000,913.000,10.486
8.000,4.000,937.000,10.559
8.000,4.000,548.000,8.754
8.000,4.000,556.000,8.737
8.000,4.000,635.000,9.148
8.000,4.000,635.000,9.148
8.000,4.000,630.000,9.165
8.000,4.000,556.000,8.843
8.000,4.000,643.000,9.237
8.000,4.000,726.000,9.665
8.000,4.000,905.000,10.486
9.000,5.000,1054.000,10.969
9.000,5.000,828.000,10.186
8.000,4.000,719.000,9.648
8.000,4.000,638.000,9.254
8.000,4.000,975.000,11.092
8.000,4.000,970.000,11.109
8.000,4.000,1314.000,12.430
10.000,5.000,1012.000,10.435
11.000,6.000,1322.000,11.435
17.000,9.000,2761.000,14.345
14.000,7.000,2029.000,13.042
8.000,4.000,807.000,10.075
8.000,4.000,719.000,9.648
9.000,5.000,921.000,10.754
9.000,5.000,822.000,10.326
9.000,5.000,926.000,10.737
9.000,5.000,1035.000,11.148
10.000,5.000,1052.000,11.275
11.000,6.000,1352.000,12.131
12.000,6.000,1549.000,12.631
9.000,5.000,1138.000,11.559
9.000,5.000,1430.000,12.469
9.000,5.000,1430.000,12.469
9.000,5.000,817.000,10.254
9.000,5.000,1047.000,11.186
9.000,5.000,921.000,10.648
9.000,5.000,921.000,10.648
9.000,5.000,921.000,10.648
10.000,5.000,1048.000,11.186
9.000,5.000,1035.000,11.148
10.000,5.000,1170.000,11.686
12.000,6.000,1534.000,12.686
12.000,6.000,1883.000,13.349
11.000,6.000,1489.000,12.597
12.000,6.000,2008.000,13.863
10.000,5.000,1322.000,12.059
10.000,5.000,1322.000,12.059
10.000,5.000,1322.000,12.059
11.000,6.000,1960.000,13.863
15.000,8.000,3057.000,15.919
8.000,4.000,729.000,9.648
9.000,5.000,959.000,10.559
9.000,5.000,819.000,10.343
9.000,5.000,926.000,10.737
9.000,5.000,923.000,10.737
9.000,5.000,1035.000,11.148
10.000,5.000,1170.000,11.686
9.000,5.000,1311.000,12.059
9.000,5.000,1035.000,11.148
11.000,6.000,1216.000,11.792
12.000,6.000,1387.000,12.292
12.000,6.000,1528.000,12.703
12.000,6.000,1682.000,13.097
10.000,5.000,1322.000,12.059
9.000,5.000,923.000,10.737
8.000,4.000,637.000,9.254
10.000,5.000,1058.000,11.220
10.000,5.000,1176.000,11.631
10.000,5.000,1176.000,11.631
9.000,5.000,1043.000,11.237
9.000,5.000,722.000,9.933
9.000,5.000,816.000,10.343
9.000,5.000,822.000,10.326
9.000,5.000,923.000,10.737
9.000,5.000,923.000,10.737
8.000,4.000,763.000,10.182
8.000,4.000,860.000,10.592
10.000,5.000,1021.000,11.220
10.000,5.000,1137.000,11.630
11.000,6.000,1154.000,11.613
11.000,6.000,1605.000,12.815
11.000,6.000,1605.000,12.815
10.000,5.000,1443.000,12.277
10.000,5.000,1307.000,11.866
11.000,6.000,1605.000,12.815
10.000,5.000,1443.000,12.277
11.000,6.000,1462.000,12.260
10.000,5.000,1443.000,12.277
11.000,6.000,1601.000,12.687
11.000,6.000,1462.000,12.260
10.000,5.000,1443.000,12.277
10.000,5.000,1443.000,12.277
11.000,6.000,1935.000,13.488
11.000,6.000,1769.000,13.187
11.000,6.000,1311.000,12.130
10.000,5.000,1289.000,11.986
11.000,6.000,1311.000,12.130
12.000,6.000,1510.000,12.630
11.000,6.000,1487.000,12.486
11.000,6.000,1466.000,12.524
11.000,6.000,1486.000,12.648
14.000,7.000,1987.000,13.630
12.000,6.000,1847.000,13.648
12.000,6.000,2055.000,14.148
13.000,7.000,2292.000,14.648
13.000,7.000,2121.000,14.148
12.000,6.000,1847.000,13.648
8.000,4.000,607.000,9.092
10.000,5.000,837.000,10.130
10.000,5.000,941.000,10.541
11.000,6.000,956.000,10.524
10.000,5.000,950.000,10.524
10.000,5.000,935.000,10.541
10.000,5.000,941.000,10.541
11.000,6.000,956.000,10.524
10.000,5.000,950.000,10.524
9.000,5.000,889.000,10.630
10.000,5.000,1031.000,11.130
10.000,5.000,1321.000,11.777
11.000,6.000,1362.000,12.148
12.000,6.000,1705.000,13.148
13.000,7.000,1966.000,13.648
11.000,6.000,1339.000,11.760
11.000,6.000,1472.000,12.187
10.000,5.000,1321.000,11.777
10.000,5.000,1321.000,11.777
10.000,5.000,1141.000,11.720
13.000,7.000,1782.000,13.042
14.000,7.000,2592.000,15.008
9.000,5.000,800.000,9.449
10.000,5.000,757.000,9.843
12.000,6.000,1032.000,10.775
11.000,6.000,884.000,10.237
12.000,6.000,1722.000,13.310
14.000,7.000,2160.000,14.242
13.000,7.000,1927.000,13.704
13.000,7.000,1927.000,13.704
10.000,5.000,757.000,9.843
12.000,6.000,1032.000,10.775
11.000,6.000,884.000,10.237
11.000,6.000,884.000,10.237
10.000,5.000,757.000,9.843
10.000,5.000,757.000,9.843
12.000,6.000,1364.000,11.899
12.000,6.000,1364.000,11.899
8.000,4.000,299.000,6.809
7.000,4.000,238.000,6.271
7.000,4.000,190.000,5.898
8.000,4.000,299.000,6.809
5.000,3.000,109.000,4.966
10.000,5.000,605.000,8.689
6.000,4.000,182.000,5.771
7.000,4.000,287.000,6.847
7.000,4.000,238.000,6.271
8.000,4.000,299.000,6.809
10.000,5.000,605.000,8.689
8.000,4.000,354.000,7.075
8.000,4.000,376.000,7.165
8.000,4.000,313.000,6.771
9.000,5.000,603.000,8.630
14.000,7.000,1603.000,12.348
14.000,7.000,1778.000,12.758
13.000,7.000,1710.000,12.796
14.000,7.000,1746.000,12.780
15.000,8.000,1816.000,12.742
15.000,8.000,2017.000,13.280
14.000,7.000,1979.000,13.296
16.000,8.000,2296.000,13.652
15.000,8.000,1816.000,12.742
15.000,8.000,2017.000,13.280
14.000,7.000,1778.000,12.758
15.000,8.000,2017.000,13.280
16.000,8.000,2245.000,13.673
10.000,5.000,675.000,9.186
15.000,8.000,2017.000,13.280
15.000,8.000,2224.000,13.673
13.000,7.000,1897.000,13.190
16.000,8.000,2245.000,13.673
16.000,8.000,2935.000,14.885
13.000,7.000,2282.000,14.152
16.000,8.000,2696.000,14.584
16.000,8.000,2245.000,13.673
15.000,8.000,2205.000,13.690
15.000,8.000,2224.000,13.673
16.000,8.000,2245.000,13.673
9.000,5.000,892.000,10.148
13.000,7.000,1867.000,13.114
12.000,6.000,1517.000,12.326
5.000,3.000,64.000,3.932
5.000,3.000,64.000,3.932
5.000,3.000,88.000,4.305
6.000,3.000,188.000,5.771
8.000,4.000,563.000,8.754
9.000,5.000,661.000,9.292
7.000,4.000,241.000,6.309
9.000,5.000,661.000,9.292
11.000,6.000,1234.000,11.826
11.000,6.000,1784.000,13.686
6.000,4.000,426.000,8.360
9.000,5.000,804.000,10.203
9.000,5.000,910.000,10.686
9.000,5.000,493.000,8.292
11.000,6.000,1099.000,11.138
9.000,5.000,493.000,8.292
10.000,5.000,606.000,8.775
10.000,5.000,619.000,8.737
11.000,6.000,751.000,9.237
10.000,5.000,721.000,9.028
12.000,6.000,993.000,10.399
9.000,5.000,669.000,8.965
10.000,5.000,595.000,8.792
11.000,6.000,961.000,9.938
10.000,5.000,805.000,9.438
9.000,5.000,747.000,9.635
9.000,5.000,647.000,9.241
9.000,5.000,1081.000,11.275
7.000,4.000,329.000,7.398
6.000,4.000,267.000,6.860
8.000,4.000,408.000,7.754
8.000,4.000,408.000,7.754
8.000,4.000,339.000,7.381
9.000,5.000,578.000,8.686
11.000,6.000,715.000,9.292
9.000,5.000,564.000,8.720
8.000,4.000,339.000,7.381
8.000,4.000,408.000,7.754
9.000,5.000,505.000,8.237
11.000,6.000,634.000,8.881
10.000,5.000,595.000,8.792
10.000,5.000,519.000,8.381
8.000,4.000,408.000,7.754
10.000,5.000,619.000,8.737
7.000,4.000,272.000,6.843
8.000,4.000,408.000,7.754
9.000,5.000,421.000,7.881
6.000,4.000,219.000,6.449
8.000,4.000,339.000,7.381
9.000,5.000,421.000,7.881
10.000,5.000,519.000,8.381
7.000,4.000,272.000,6.843
7.000,4.000,272.000,6.843
12.000,6.000,993.000,10.399
12.000,6.000,993.000,10.399
14.000,7.000,1611.000,12.242
13.000,7.000,1277.000,11.331
7.000,4.000,272.000,6.843
12.000,6.000,993.000,10.399
9.000,5.000,501.000,8.292
10.000,5.000,595.000,8.792
10.000,5.000,675.000,9.220
10.000,5.000,774.000,9.758
10.000,5.000,595.000,8.792
10.000,5.000,595.000,8.792
9.000,5.000,1081.000,11.275
9.000,5.000,564.000,8.720
9.000,5.000,1185.000,11.703
9.000,5.000,843.000,10.365
9.000,5.000,561.000,8.703
9.000,5.000,647.000,9.241
9.000,5.000,647.000,9.241
9.000,5.000,747.000,9.635
9.000,5.000,578.000,8.686
8.000,4.000,339.000,7.381
6.000,4.000,219.000,6.449
7.000,4.000,274.000,6.843
7.000,4.000,272.000,6.843
9.000,5.000,1081.000,11.275
9.000,5.000,727.000,9.668
9.000,5.000,712.000,9.916
9.000,5.000,812.000,10.326
10.000,5.000,826.000,10.310
11.000,6.000,961.000,10.848
10.000,5.000,824.000,10.310
11.000,6.000,957.000,10.848
9.000,5.000,802.000,10.343
9.000,5.000,812.000,10.326
10.000,5.000,826.000,10.310
10.000,5.000,824.000,10.310
9.000,5.000,810.000,10.326
9.000,5.000,793.000,10.343
9.000,5.000,889.000,10.771
10.000,5.000,929.000,10.865
9.000,5.000,810.000,10.326
9.000,5.000,905.000,10.865
10.000,5.000,824.000,10.310
10.000,5.000,824.000,10.310
15.000,8.000,2112.000,13.865
10.000,5.000,824.000,10.310
9.000,5.000,812.000,10.326
9.000,5.000,812.000,10.326
10.000,5.000,826.000,10.310
10.000,5.000,826.000,10.310
15.000,8.000,2128.000,13.865
10.000,5.000,826.000,10.310
14.000,7.000,2000.000,13.882
9.000,5.000,810.000,10.326
10.000,5.000,1077.000,11.220
11.000,6.000,1221.000,11.614
11.000,6.000,1223.000,11.614
9.000,5.000,819.000,10.310
10.000,5.000,941.000,10.704
10.000,5.000,943.000,10.704
9.000,5.000,819.000,10.310
10.000,5.000,941.000,10.704
9.000,5.000,928.000,10.720
12.000,6.000,1910.000,13.126
11.000,6.000,1190.000,11.899
11.000,6.000,1214.000,11.882
9.000,5.000,798.000,10.326
9.000,5.000,712.000,9.916
9.000,5.000,712.000,9.916
9.000,5.000,712.000,9.916
9.000,5.000,712.000,9.916
11.000,6.000,1182.000,11.899
9.000,5.000,712.000,9.916
