IC50_uM
"[0.04, 0.04]"
"[0.017, 0.017]"
"[0.0074, 0.0074]"
"[0.0051, 0.0051]"
"[0.0094, 0.0094]"
"[0.0081, 0.0081]"
"[0.002, 0.002]"
"[0.0016, 0.0016]"
"[0.0041, 0.0041]"
"[0.0018, 0.0018]"
"[0.003, 0.003]"
"[0.007, 0.007]"
"[0.0055, 0.0055]"
"[0.0024, 0.0024]"
"[0.0029, 0.0029]"
"[0.013, 0.013]"
"[0.0053, 0.0053]"
"[0.01, 0.01]"
"[0.0015, 0.0015]"
"[0.0038, 0.0038]"
"[0.0018, 0.0018]"
"[0.0022, 0.0022]"
"[0.0035, 0.0035]"
"[0.096, 0.096]"
"[0.386, 0.386]"
"[0.46, 0.46]"
"[0.065, 0.065]"
"[0.075, 0.075]"
"(1.0, inf)"
"[0.455, 0.455]"
"(1.0, inf)"
"[0.38, 0.38]"
"[0.03, 0.03]"
"[0.036, 0.036]"
"[0.024, 0.024]"
"[0.043, 0.043]"
"[0.018, 0.018]"
"(1.0, inf)"
"[0.35, 0.35]"
"[0.021, 0.021]"
"[0.019, 0.019]"
"[0.014, 0.014]"
"[0.0038, 0.0038]"
"[0.32, 0.32]"
"[0.15, 0.15]"
"[0.028, 0.028]"
"[0.019, 0.019]"
"[0.072, 0.072]"
"[0.3, 0.3]"
"[0.04, 0.04]"
"[0.0036, 0.0036]"
"[0.014, 0.014]"
"[0.037, 0.037]"
"[0.052, 0.052]"
"(1.0, inf)"
"[0.26, 0.26]"
"[0.063, 0.063]"
"[0.092, 0.092]"
"[0.0925, 0.0925]"
"[0.11, 0.11]"
"[0.43, 0.43]"
"[0.62, 0.62]"
"(1.0, inf)"
"[0.0083, 0.0083]"
"[0.0148, 0.0148]"
"[0.0245, 0.0245]"
"[0.033, 0.033]"
"[0.0425, 0.0425]"
"[0.14, 0.14]"
"[0.13, 0.13]"
"[0.3, 0.3]"
"(1.0, inf)"
"(1.0, inf)"
"[0.034, 0.034]"
"[0.034, 0.034]"
"[0.087, 0.087]"
"[0.018, 0.018]"
"[0.29, 0.29]"
"(1.0, inf)"
"[0.0035, 0.0035]"
"[0.0012, 0.0012]"
"[0.007, 0.007]"
"(1.0, inf)"
"[0.049, 0.049]"
"[0.018, 0.018]"
"[0.016, 0.016]"
"[0.0035, 0.0035]"
"[0.33, 0.33]"
"[0.9, 0.9]"
"[0.0053, 0.0053]"
"[0.059, 0.059]"
"[0.037, 0.037]"
"[0.07, 0.07]"
"[0.0039, 0.0039]"
"[0.0094, 0.0094]"
"[0.17, 0.17]"
"(1.0, inf)"
"(5.0, inf)"
"(1.0, inf)"
"(1.0, inf)"
"[0.726, 0.726]"
"[0.352, 0.352]"
"[0.31, 0.31]"
"[0.87, 0.87]"
"(1.0, inf)"
"(1.0, inf)"
"(1.0, inf)"
"(1.0, inf)"
"[0.0065, 0.0065]"
"[0.42, 0.42]"
"(1.0, inf)"
"[0.13, 0.13]"
"[0.21, 0.21]"
"[0.0043, 0.0043]"
"[0.0085, 0.0085]"
"[0.02, 0.02]"
"[0.004, 0.004]"
"[0.0042, 0.0042]"
"[0.135, 0.135]"
"[0.0114, 0.0114]"
"[0.0033, 0.0033]"
"[0.004, 0.004]"
"[0.0034, 0.0034]"
"[0.0035, 0.0035]"
"[0.0031, 0.0031]"
"[0.0014, 0.0014]"
"[0.0012, 0.0012]"
"[0.0015, 0.0015]"
"[0.0029, 0.0029]"
"[0.0048, 0.0048]"
"[0.0045, 0.0045]"
"[0.015, 0.015]"
"[0.014, 0.014]"
"[0.0074, 0.0074]"
"[0.012, 0.012]"
"[0.013, 0.013]"
"[0.0035, 0.0035]"
"[0.0038, 0.0038]"
"[0.026, 0.026]"
"[0.0063, 0.0063]"
"[0.07, 0.07]"
"[0.025, 0.025]"
"[0.41, 0.41]"
"[0.042, 0.042]"
"[0.019, 0.019]"
"[0.0065, 0.0065]"
"[0.0056, 0.0056]"
"[0.005, 0.005]"
"[0.0244, 0.0244]"
"[0.0015, 0.0015]"
"[0.0025, 0.0025]"
"[0.0042, 0.0042]"
"[0.016, 0.016]"
"[0.015, 0.015]"
"[0.23, 0.23]"
"[0.075, 0.075]"
"[0.011, 0.011]"
"[0.004, 0.004]"
"[0.0028, 0.0028]"
"[0.0028, 0.0028]"
"[0.42, 0.42]"
"[0.0052, 0.0052]"
"[0.011, 0.011]"
"[0.0019, 0.0019]"
"[0.0025, 0.0025]"
"(1.0, inf)"
"[3.0, 3.0]"
"[0.0064, 0.0064]"
"[0.0017, 0.0017]"
"[0.062, 0.062]"
"[0.046, 0.046]"
"[0.01, 0.01]"
"[0.0032, 0.0032]"
"[0.0032, 0.0032]"
"[0.0034, 0.0034]"
"[0.0062, 0.0062]"
"[0.0077, 0.0077]"
"[0.0025, 0.0025]"
"[0.0031, 0.0031]"
"[0.09, 0.09]"
"[0.0022, 0.0022]"
"[0.0021, 0.0021]"
"[0.0033, 0.0033]"
"[0.0028, 0.0028]"
"[0.0014, 0.0014]"
"[0.0025, 0.0025]"
"[0.0017, 0.0017]"
"[0.0026, 0.0026]"
"[0.0063, 0.0063]"
"[0.0029, 0.0029]"
"[0.0023, 0.0023]"
"[0.0026, 0.0026]"
"[0.004, 0.004]"
"[0.0034, 0.0034]"
"[0.0052, 0.0052]"
"[0.0015, 0.0015]"
"[0.0053, 0.0053]"
"(1.0, inf)"
"[0.003, 0.003]"
"[0.0027, 0.0027]"
"[0.0068, 0.0068]"
"(1.0, inf)"
"(1.0, inf)"
"[0.002, 0.002]"
"[0.0025, 0.0025]"
"(1.0, inf)"
"[0.0024, 0.0024]"
"[0.0013, 0.0013]"
"[0.0053, 0.0053]"
"[0.0013, 0.0013]"
"[0.0024, 0.0024]"
"[0.0009, 0.0009]"
"[0.0051, 0.0051]"
"[0.0037, 0.0037]"
"[0.0012, 0.0012]"
"[0.001, 0.001]"
"[1.0, 1.0]"
"[0.031, 0.031]"
"[0.0021, 0.0021]"
"[0.12, 0.12]"
"[0.00046, 0.00046]"
"[0.00034, 0.00034]"
"[0.0007, 0.0007]"
"(2.0, inf)"
"(2.0, inf)"
"(2.0, inf)"
"(2.0, inf)"
"(2.0, inf)"
"(2.0, inf)"
"(2.0, inf)"
"(2.0, inf)"
"(2.0, inf)"
"(2.0, inf)"
"[0.1, 0.1]"
"[0.38, 0.38]"
"(100.0, inf)"
"(100.0, inf)"
"(100.0, inf)"
"[13.2, 13.2]"
"(100.0, inf)"
"[10.0, 10.0]"
"(100.0, inf)"
