diam,rad,Wiener,Randich
12.000,6.000,1212.000,10.859
12.000,6.000,1099.000,10.449
12.000,6.000,1099.000,10.449
11.000,6.000,1061.000,10.465
13.000,7.000,1740.000,12.071
12.000,6.000,1212.000,10.859
13.000,7.000,1562.000,11.770
12.000,6.000,1350.000,11.270
12.000,6.000,1348.000,11.397
12.000,6.000,1543.000,11.660
14.000,7.000,1798.000,12.220
16.000,8.000,2696.000,14.265
13.000,7.000,1747.000,12.071
12.000,6.000,1099.000,10.449
14.000,7.000,1798.000,12.220
14.000,7.000,1995.000,12.603
12.000,6.000,1880.000,12.753
12.000,6.000,1626.000,12.071
12.000,6.000,2162.000,13.392
12.000,6.000,1631.000,12.181
13.000,7.000,2628.000,14.753
12.000,6.000,2322.000,13.731
12.000,6.000,1482.000,11.808
12.000,6.000,1482.000,11.808
12.000,6.000,1335.000,11.270
12.000,6.000,1335.000,11.270
12.000,6.000,1828.000,12.664
12.000,6.000,2052.000,13.164
12.000,6.000,1482.000,11.808
15.000,8.000,3053.000,15.219
14.000,7.000,3028.000,15.219
12.000,6.000,2162.000,13.392
12.000,6.000,2004.000,12.954
14.000,7.000,3861.000,16.841
12.000,6.000,1212.000,10.859
12.000,6.000,1219.000,10.842
12.000,6.000,1654.000,12.054
12.000,6.000,1654.000,12.054
11.000,6.000,1475.000,11.660
12.000,6.000,1654.000,12.054
13.000,7.000,1859.000,12.592
13.000,7.000,1859.000,12.592
13.000,7.000,2066.000,12.964
13.000,7.000,1859.000,12.592
13.000,7.000,2066.000,12.964
13.000,7.000,2275.000,13.265
12.000,6.000,1654.000,12.054
12.000,6.000,1654.000,12.054
11.000,6.000,1475.000,11.660
12.000,6.000,1654.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1635.000,12.054
12.000,6.000,2199.000,13.265
12.000,6.000,1821.000,12.592
12.000,6.000,1821.000,12.592
13.000,7.000,2034.000,13.092
12.000,6.000,2009.000,12.964
12.000,6.000,1821.000,12.592
11.000,6.000,1635.000,12.054
12.000,6.000,2009.000,12.964
11.000,6.000,1635.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1616.000,12.071
11.000,6.000,1616.000,12.071
11.000,6.000,1616.000,12.071
11.000,6.000,1783.000,12.609
11.000,6.000,1616.000,12.071
11.000,6.000,1616.000,12.071
13.000,7.000,2026.000,13.002
13.000,7.000,2026.000,13.002
13.000,7.000,2026.000,13.002
13.000,7.000,2237.000,13.375
13.000,7.000,2237.000,13.375
13.000,7.000,2026.000,13.002
12.000,6.000,1817.000,12.464
12.000,6.000,1817.000,12.464
12.000,6.000,1817.000,12.464
12.000,6.000,1817.000,12.464
12.000,6.000,2007.000,13.002
12.000,6.000,2199.000,13.375
12.000,6.000,2000.000,13.126
12.000,6.000,1817.000,12.464
12.000,6.000,1817.000,12.464
11.000,6.000,1799.000,12.448
11.000,6.000,1799.000,12.448
12.000,6.000,1990.000,12.986
12.000,6.000,2378.000,13.659
11.000,6.000,1799.000,12.448
11.000,6.000,1781.000,12.464
11.000,6.000,1761.000,12.481
13.000,7.000,2026.000,13.002
13.000,7.000,2026.000,13.002
13.000,7.000,2026.000,13.002
13.000,7.000,2026.000,13.002
12.000,6.000,1817.000,12.464
12.000,6.000,2007.000,13.002
12.000,6.000,1817.000,12.464
11.000,6.000,1799.000,12.448
11.000,6.000,1799.000,12.448
12.000,6.000,1990.000,12.986
13.000,7.000,2197.000,13.413
13.000,7.000,2197.000,13.413
13.000,7.000,2197.000,13.413
13.000,7.000,2197.000,13.413
13.000,7.000,2181.000,13.413
13.000,7.000,2412.000,13.786
13.000,7.000,2197.000,13.413
12.000,6.000,1099.000,10.449
12.000,6.000,1507.000,11.753
12.000,6.000,1362.000,11.380
12.000,6.000,1362.000,11.380
12.000,6.000,1362.000,11.380
12.000,6.000,1873.000,12.791
12.000,6.000,1507.000,11.753
13.000,7.000,2527.000,14.223
12.000,6.000,1362.000,11.380
12.000,6.000,2044.000,13.415
15.000,8.000,2885.000,14.792
15.000,8.000,2885.000,14.792
12.000,6.000,1529.000,11.880
12.000,6.000,1362.000,11.380
12.000,6.000,1529.000,11.880
12.000,6.000,1869.000,12.527
12.000,6.000,1529.000,11.880
11.000,6.000,1475.000,11.660
11.000,6.000,1616.000,12.071
12.000,6.000,1654.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1616.000,12.071
13.000,7.000,1859.000,12.592
12.000,6.000,1821.000,12.592
11.000,6.000,1635.000,12.054
11.000,6.000,1475.000,11.660
11.000,6.000,1616.000,12.071
12.000,6.000,1654.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1616.000,12.071
12.000,6.000,1821.000,12.592
11.000,6.000,1635.000,12.054
11.000,6.000,1337.000,11.359
11.000,6.000,1201.000,10.987
11.000,6.000,1067.000,10.449
12.000,6.000,1682.000,12.397
11.000,6.000,1201.000,10.987
11.000,6.000,1337.000,11.359
11.000,6.000,1635.000,12.054
12.000,6.000,1654.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1616.000,12.071
11.000,6.000,1635.000,12.054
12.000,6.000,1654.000,12.054
11.000,6.000,1635.000,12.054
11.000,6.000,1616.000,12.071
13.000,7.000,2213.000,13.626
12.000,6.000,2137.000,13.643
13.000,7.000,2213.000,13.626
12.000,6.000,2134.000,13.554
12.000,6.000,2000.000,13.126
11.000,6.000,1943.000,13.143
10.000,5.000,1318.000,11.160
10.000,5.000,1318.000,11.160
10.000,5.000,1318.000,11.160
11.000,6.000,1474.000,11.554
10.000,5.000,1455.000,11.571
11.000,6.000,1474.000,11.554
11.000,6.000,1474.000,11.554
11.000,6.000,1474.000,11.554
11.000,6.000,1474.000,11.554
11.000,6.000,1474.000,11.554
11.000,6.000,1474.000,11.554
12.000,6.000,1099.000,10.449
13.000,7.000,1265.000,10.987
12.000,6.000,1099.000,10.449
12.000,6.000,1099.000,10.449
11.000,6.000,955.000,10.055
13.000,7.000,1603.000,11.660
12.000,6.000,1217.000,10.859
13.000,7.000,1265.000,10.987
13.000,7.000,1265.000,10.987
14.000,7.000,1454.000,11.487
13.000,7.000,1265.000,10.987
12.000,6.000,1217.000,10.859
12.000,6.000,1341.000,11.156
12.000,6.000,1341.000,11.156
12.000,6.000,2265.000,13.656
12.000,6.000,1637.000,12.277
12.000,6.000,1637.000,12.277
12.000,6.000,1231.000,10.859
12.000,6.000,1231.000,10.859
12.000,6.000,1702.000,12.071
12.000,6.000,1367.000,11.270
12.000,6.000,1231.000,10.859
13.000,7.000,1401.000,11.397
13.000,7.000,1401.000,11.397
13.000,7.000,1541.000,11.808
12.000,6.000,1379.000,11.521
13.000,7.000,1573.000,11.770
13.000,7.000,1747.000,12.071
12.000,6.000,1099.000,10.449
12.000,6.000,1231.000,10.859
12.000,6.000,1231.000,10.859
12.000,6.000,1367.000,11.270
12.000,6.000,1099.000,10.449
12.000,6.000,1231.000,10.859
13.000,7.000,1265.000,10.987
13.000,7.000,1401.000,11.397
13.000,7.000,1401.000,11.397
13.000,7.000,1541.000,11.808
12.000,6.000,1379.000,11.521
13.000,7.000,1573.000,11.770
13.000,7.000,1603.000,11.660
13.000,7.000,1747.000,12.071
12.000,6.000,1220.000,10.949
12.000,6.000,1359.000,11.359
12.000,6.000,1220.000,10.949
13.000,7.000,1538.000,11.897
13.000,7.000,1538.000,11.897
12.000,6.000,1220.000,10.949
12.000,6.000,1359.000,11.359
12.000,6.000,1220.000,10.949
13.000,7.000,1538.000,11.897
13.000,7.000,1538.000,11.897
12.000,6.000,1488.000,11.753
12.000,6.000,1642.000,12.164
12.000,6.000,1642.000,12.164
13.000,7.000,1840.000,12.702
13.000,7.000,1840.000,12.702
13.000,7.000,2002.000,13.112
13.000,7.000,1840.000,12.702
13.000,7.000,2025.000,13.240
13.000,7.000,2017.000,13.326
12.000,6.000,1815.000,12.826
12.000,6.000,1488.000,11.753
12.000,6.000,1642.000,12.164
12.000,6.000,1642.000,12.164
12.000,6.000,1642.000,12.164
13.000,7.000,2040.000,13.074
12.000,6.000,1488.000,11.753
12.000,6.000,1642.000,12.164
12.000,6.000,1642.000,12.164
13.000,7.000,1840.000,12.702
13.000,7.000,1840.000,12.702
13.000,7.000,2002.000,13.112
13.000,7.000,1840.000,12.702
13.000,7.000,2025.000,13.240
13.000,7.000,2017.000,13.326
12.000,6.000,1815.000,12.826
12.000,6.000,1488.000,11.753
12.000,6.000,1642.000,12.164
12.000,6.000,1642.000,12.164
12.000,6.000,1642.000,12.164
13.000,7.000,2040.000,13.074
12.000,6.000,1488.000,11.753
12.000,6.000,1633.000,12.415
12.000,6.000,1738.000,12.608
12.000,6.000,1806.000,12.915
12.000,6.000,1488.000,11.753
12.000,6.000,1488.000,11.753
12.000,6.000,1488.000,11.753
12.000,6.000,1488.000,11.753
11.000,6.000,1475.000,11.660
11.000,6.000,1616.000,12.071
11.000,6.000,1635.000,12.054
12.000,6.000,1654.000,12.054
11.000,6.000,1616.000,12.071
12.000,6.000,1654.000,12.054
11.000,6.000,1616.000,12.071
11.000,6.000,1635.000,12.054
12.000,6.000,1654.000,12.054
13.000,7.000,1859.000,12.592
13.000,7.000,2275.000,13.265
13.000,7.000,2066.000,12.964
12.000,6.000,1654.000,12.054
11.000,6.000,1783.000,12.609
13.000,7.000,1859.000,12.592
14.000,7.000,2091.000,13.092
13.000,7.000,1859.000,12.592
12.000,6.000,1654.000,12.054
11.000,6.000,1952.000,12.981
13.000,7.000,1859.000,12.592
13.000,7.000,2066.000,12.964
13.000,7.000,1859.000,12.592
13.000,7.000,2066.000,12.964
13.000,7.000,2026.000,13.002
13.000,7.000,2221.000,13.540
13.000,7.000,2221.000,13.540
13.000,7.000,2026.000,13.002
13.000,7.000,2237.000,13.375
13.000,7.000,2026.000,13.002
13.000,7.000,2197.000,13.413
12.000,6.000,1817.000,12.464
12.000,6.000,1799.000,12.464
11.000,6.000,1781.000,12.464
12.000,6.000,1799.000,12.464
12.000,6.000,1507.000,11.753
13.000,7.000,1850.000,12.614
12.000,6.000,1507.000,11.753
13.000,7.000,1702.000,12.291
13.000,7.000,2098.000,12.964
13.000,7.000,1899.000,12.664
13.000,7.000,1899.000,12.664
13.000,7.000,1702.000,12.291
13.000,7.000,1861.000,12.702
13.000,7.000,1861.000,12.702
13.000,7.000,2024.000,13.112
13.000,7.000,2024.000,13.112
11.000,6.000,1628.000,12.164
11.000,6.000,1337.000,11.359
12.000,6.000,1677.000,12.291
11.000,6.000,1067.000,10.449
14.000,7.000,2519.000,14.347
12.000,6.000,2043.000,13.309
12.000,6.000,1507.000,11.753
12.000,6.000,1677.000,12.291
14.000,7.000,3039.000,15.203
12.000,6.000,1362.000,11.380
12.000,6.000,1362.000,11.380
15.000,8.000,2933.000,14.898
11.000,6.000,1201.000,10.987
12.000,6.000,1529.000,11.880
11.000,6.000,1201.000,10.987
12.000,6.000,1782.000,12.481
11.000,6.000,1176.000,10.876
12.000,6.000,1482.000,11.808
12.000,6.000,1482.000,11.808
12.000,6.000,1631.000,12.181
12.000,6.000,1806.000,12.719
12.000,6.000,1631.000,12.181
11.000,6.000,1061.000,10.465
12.000,6.000,1212.000,10.859
12.000,6.000,1099.000,10.449
11.000,6.000,1061.000,10.465
11.000,6.000,1061.000,10.465
12.000,6.000,1348.000,11.397
11.000,6.000,1319.000,11.376
12.000,6.000,1626.000,12.071
11.000,6.000,1061.000,10.465
11.000,6.000,1596.000,12.087
12.000,6.000,1782.000,12.481
12.000,6.000,1937.000,13.019
12.000,6.000,2120.000,13.519
11.000,6.000,1743.000,12.625
11.000,6.000,1596.000,12.087
12.000,6.000,1654.000,12.054
13.000,7.000,1859.000,12.592
13.000,7.000,2048.000,12.997
13.000,7.000,1892.000,12.527
12.000,6.000,1484.000,11.753
13.000,7.000,2069.000,12.964
9.000,5.000,875.000,10.055
11.000,6.000,1150.000,10.842
13.000,7.000,1495.000,11.918
12.000,6.000,1316.000,11.380
12.000,6.000,1316.000,11.380
12.000,6.000,1654.000,12.054
12.000,6.000,1654.000,12.054
11.000,6.000,1475.000,11.660
11.000,6.000,1475.000,11.660
11.000,6.000,1475.000,11.660
11.000,6.000,1474.000,11.554
11.000,6.000,1474.000,11.554
12.000,6.000,1962.000,13.143
12.000,6.000,2000.000,13.126
11.000,6.000,1475.000,11.660
12.000,6.000,2000.000,13.126
13.000,7.000,2213.000,13.626
12.000,6.000,2000.000,13.126
12.000,6.000,2171.000,13.537
11.000,6.000,1336.000,11.253
12.000,6.000,1836.000,12.826
12.000,6.000,1340.000,11.363
13.000,7.000,1674.000,12.311
13.000,7.000,1674.000,12.311
12.000,6.000,1340.000,11.363
12.000,6.000,1340.000,11.363
12.000,6.000,1340.000,11.363
12.000,6.000,1340.000,11.363
13.000,7.000,1524.000,11.901
13.000,7.000,1524.000,11.901
14.000,7.000,2157.000,13.047
14.000,7.000,2157.000,13.047
13.000,7.000,1898.000,12.574
13.000,7.000,1898.000,12.574
13.000,7.000,1674.000,12.311
13.000,7.000,1674.000,12.311
13.000,7.000,1674.000,12.311
13.000,7.000,1674.000,12.311
12.000,6.000,1650.000,12.435
12.000,6.000,1486.000,11.773
12.000,6.000,1486.000,11.773
