diam,rad,Wiener,Randich
10.000,5.000,826.000,10.004
10.000,5.000,724.000,9.593
10.000,5.000,826.000,10.004
11.000,6.000,949.000,10.542
10.000,5.000,826.000,10.004
10.000,5.000,826.000,10.004
11.000,6.000,949.000,10.542
13.000,7.000,1262.000,11.542
11.000,6.000,949.000,10.542
11.000,6.000,949.000,10.542
12.000,6.000,1094.000,11.042
12.000,6.000,1094.000,11.042
10.000,5.000,826.000,10.004
12.000,6.000,1241.000,11.398
18.000,9.000,3008.000,15.059
12.000,6.000,1094.000,11.042
14.000,7.000,1780.000,13.059
21.000,11.000,5064.000,17.813
11.000,6.000,949.000,10.542
14.000,7.000,1454.000,12.042
16.000,8.000,2159.000,13.398
20.000,10.000,5012.000,17.864
20.000,10.000,5012.000,17.864
21.000,11.000,5064.000,17.813
20.000,10.000,5012.000,17.864
11.000,6.000,941.000,10.483
11.000,6.000,1287.000,11.932
11.000,6.000,1287.000,11.932
11.000,6.000,1265.000,11.804
11.000,6.000,1957.000,13.949
11.000,6.000,1548.000,12.966
12.000,6.000,2137.000,14.398
11.000,6.000,2049.000,14.415
10.000,5.000,822.000,9.922
12.000,6.000,1082.000,10.983
12.000,6.000,1082.000,10.983
12.000,6.000,1082.000,10.983
13.000,7.000,1246.000,11.483
12.000,6.000,1082.000,10.983
13.000,7.000,1519.000,12.528
13.000,7.000,1518.000,12.421
11.000,6.000,1061.000,11.028
17.000,9.000,2617.000,14.501
13.000,7.000,1246.000,11.483
15.000,8.000,2012.000,13.501
12.000,6.000,1082.000,10.983
13.000,7.000,1246.000,11.483
16.000,8.000,1886.000,12.983
14.000,7.000,1752.000,13.001
17.000,9.000,2617.000,14.501
15.000,8.000,2012.000,13.501
12.000,6.000,1224.000,11.501
13.000,7.000,1412.000,11.839
18.000,9.000,2446.000,13.983
17.000,9.000,2152.000,13.483
18.000,9.000,2446.000,13.983
17.000,9.000,2152.000,13.483
17.000,9.000,2152.000,13.483
18.000,9.000,2964.000,15.001
17.000,9.000,2152.000,13.483
16.000,8.000,2485.000,14.411
12.000,6.000,1082.000,10.983
12.000,6.000,1082.000,10.983
12.000,6.000,1082.000,10.983
16.000,8.000,2300.000,14.001
12.000,6.000,1082.000,10.983
12.000,6.000,1082.000,10.983
12.000,6.000,1082.000,10.983
16.000,8.000,2300.000,14.001
10.000,5.000,907.000,10.542
12.000,6.000,1082.000,10.983
11.000,6.000,1148.000,11.432
10.000,5.000,1134.000,11.292
10.000,5.000,1016.000,10.871
11.000,6.000,1270.000,11.853
12.000,6.000,1304.000,11.932
10.000,5.000,1022.000,10.953
12.000,6.000,1304.000,11.932
11.000,6.000,1050.000,10.904
12.000,6.000,1431.000,12.353
12.000,6.000,1304.000,11.932
13.000,7.000,1786.000,13.476
10.000,5.000,927.000,10.343
11.000,6.000,1148.000,11.432
13.000,7.000,1648.000,12.948
10.000,5.000,907.000,10.542
10.000,5.000,1016.000,10.871
12.000,6.000,1196.000,11.404
13.000,7.000,1928.000,13.897
10.000,5.000,1134.000,11.292
10.000,5.000,1022.000,10.953
11.000,6.000,1270.000,11.853
12.000,6.000,1431.000,12.353
17.000,9.000,3314.000,15.542
17.000,9.000,3314.000,15.542
17.000,9.000,3314.000,15.542
17.000,9.000,3314.000,15.542
17.000,9.000,3314.000,15.542
21.000,11.000,6029.000,18.559
11.000,6.000,1058.000,10.911
11.000,6.000,1058.000,10.911
